TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
UNITED AIRLINES   ;73.893;61.607;79.929;120.835;84.437;166.535;202.351;183.078;202.344;219.514;183.617;208.052;1.786.192
NORTEAMERICANAS   ;2.596.073;1.612.064;1.786.663;1.591.466;1.482.721;2.228.730;1.971.864;2.017.989;2.031.520;1.790.586;2.408.392;2.319.365;23.837.433
AIR EUROPA        ;25.382;38.712;2.441;0;0;0;0;0;0;0;0;0;66.535
IBERIA            ;0;27.360;86.358;5.248;0;0;0;0;0;0;0;0;118.966
AIR FRANCE        ;94.560;65.079;88.137;125.325;96.541;88.298;68.895;81.435;94.729;69.579;68.816;89.943;1.031.337
CARGOLUX AIRLINES ;104.385;157.812;151.876;0;0;0;0;0;0;0;24.970;124.584;563.627
K.L.M.            ;42.365;22.950;53.031;51.370;46.736;47.744;48.997;51.332;47.132;87.000;43.149;34.908;576.714
MARTINAIR HOLLAND ;734.012;843.704;879.850;600.524;387.393;523.318;599.704;596.042;542.175;663.978;507.809;422.609;7.301.118
EUROPEAS          ;1.000.704;1.155.617;1.261.693;782.467;530.670;659.360;717.596;728.809;684.036;820.557;644.744;672.044;9.658.297
QANTAS AIRWAYS    ;34.500;40.047;40.195;54.212;52.857;44.699;47.503;38.249;52.167;47.720;61.735;51.608;565.492
PACIFICO SUR      ;34.500;40.047;40.195;54.212;52.857;44.699;47.503;38.249;52.167;47.720;61.735;51.608;565.492
TOTAL GENERAL;8.393.348;7.766.864;8.720.631;8.387.641;7.621.877;8.618.878;8.320.179;8.220.213;8.236.755;8.820.967;9.098.086;8.304.493;100.509.932
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS SALIDAS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;1.643.664;1.263.200;2.078.948;1.871.917;834.608;1.278.845;968.406;977.009;1.076.016;880.606;1.586.175;3.049.497;17.508.891
LAN AIRLINES         ;6.561.768;6.280.359;6.104.378;5.699.805;4.088.880;4.804.086;5.162.677;5.207.577;5.491.448;5.844.679;6.144.044;7.045.620;68.435.321
SKY AIRLINE       ;72.719;90.410;114.392;76.030;63.547;78.582;45.143;73.483;50.561;54.653;110.851;79.352;909.723
CHILENAS          ;8.278.151;7.633.969;8.297.718;7.647.752;4.987.035;6.161.513;6.176.226;6.258.069;6.618.025;6.779.938;7.841.070;10.174.469;86.853.935
AEROL. ARGENTINAS ;912;4.471;0;16.304;3.322;4.736;6.170;3.097;978;3.836;2.922;2.324;49.072
AUSTRAL           ;29.927;23.893;16.818;16.818;16.596;14.632;18.644;16.189;24.298;12.883;19.155;22.434;232.287
LAN ARGENTINA     ;0;0;0;0;0;504;7.207;0;0;510;0;0;8.221
LAN PERU          ;72;725;245;2.028;74;261;272;6;62;1.615;126;602;6.088
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;5.574;21.475;27.049
LAN ECUADOR       ;2.867;3.016;4.184;2.711;452;1.032;641;182;0;1.773;572;1.331;18.761
AVIANCA           ;357.001;338.154;360.095;319.253;216.228;267.463;306.567;269.689;253.960;407.059;383.553;459.592;3.938.614
LANCO (CARGA)     ;69.444;0;0;25.114;0;0;0;0;0;0;0;0;94.558
L.A.C.S.A.        ;22.033;36.061;29.146;33.034;25.550;33.467;24.188;24.975;19.792;26.031;21.589;30.069;325.935
C.O.P.A.          ;0;0;0;0;0;0;8.500;0;0;0;0;0;8.500
AEROMEXICO        ;391.956;380.390;350.048;338.334;231.720;226.267;251.335;266.984;281.379;281.947;289.073;278.884;3.568.317
LATINOAMERICANAS  ;874.212;786.710;760.536;753.596;493.942;548.362;623.524;581.122;580.469;735.654;722.564;816.711;8.277.402
AIR CANADA        ;331.984;312.115;385.470;126.028;100.634;103.372;130.425;144.203;94.981;179.615;402.843;634.562;2.946.232
AMERICAN AIRLINES ;846.633;790.882;856.789;684.073;742.517;626.280;603.480;894.795;707.004;623.683;751.222;935.880;9.063.238
ATLAS AIR INC.    ;1.562.608;1.538.356;1.630.233;1.547.358;1.224.747;1.562.425;1.278.637;1.656.303;1.443.875;1.561.252;3.417.073;3.029.502;21.452.369
CENTURION AIR CARGO;0;0;65.442;0;0;0;568.966;234.355;255.334;0;80.957;0;1.205.054
DELTA AIRLINES    ;451.522;357.400;368.300;336.000;278.500;456.138;506.173;700.645;589.882;746.643;357.890;340.685;5.489.778
UNITED AIRLINES   ;176.876;296.369;298.053;377.139;223.314;305.785;380.418;305.439;331.433;414.840;448.390;539.013;4.097.069
NORTEAMERICANAS   ;3.369.623;3.295.122;3.604.287;3.070.598;2.569.712;3.054.000;3.468.099;3.935.740;3.422.509;3.526.033;5.458.375;5.479.642;44.253.740
AIR EUROPA        ;34.978;17.194;2.185;0;0;0;0;0;0;0;0;0;54.357
IBERIA            ;33.132;188.556;398.037;350.983;122.961;119.393;125.718;119.173;38.850;72.513;154.009;155.392;1.878.717
AIR FRANCE        ;13.660;11.574;91.324;0;14.282;0;100.274;0;0;160.254;287.554;360.609;1.039.531
CARGOLUX AIRLINES ;22.296;22.935;10.824;0;0;0;0;0;0;0;238.338;775.071;1.069.464
K.L.M.            ;0;0;33.346;0;0;0;0;0;0;63.915;132.196;198.532;427.989
MARTINAIR HOLLAND ;110.823;75.782;224.865;82.184;64.641;131.181;118.330;119.930;102.191;87.527;114.531;154.337;1.386.322
EUROPEAS          ;214.889;316.041;760.581;433.167;201.884;250.574;344.322;239.103;141.041;384.209;926.628;1.643.941;5.856.380
QANTAS AIRWAYS    ;71.276;17.532;11.519;71.965;93.854;101.805;35.323;61.039;27.328;31.003;16.432;20.304;559.380
PACIFICO SUR      ;71.276;17.532;11.519;71.965;93.854;101.805;35.323;61.039;27.328;31.003;16.432;20.304;559.380
TOTAL GENERAL;12.808.151;12.049.374;13.434.641;11.977.078;8.346.427;10.116.254;10.647.494;11.075.073;10.789.372;11.456.837;14.965.069;18.135.067;145.800.837
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;2.804.493;2.676.879;3.656.706;3.751.960;2.449.918;3.001.423;2.673.744;2.599.866;2.607.134;2.471.022;3.342.455;4.405.731;36.441.331
LAN AIRLINES         ;9.809.228;9.413.796;9.585.433;9.193.032;7.513.886;8.179.004;8.489.713;8.563.079;8.950.570;9.770.627;9.722.828;10.387.207;109.578.403
LAN EXPRESS       ;4.340;0;0;0;0;0;0;0;0;0;0;0;4.340
SKY AIRLINE       ;72.719;90.410;137.860;76.030;63.547;78.582;45.143;73.483;50.561;54.653;110.851;87.201;941.040
CHILENAS          ;12.690.780;12.181.085;13.379.999;13.021.022;10.027.351;11.259.009;11.208.600;11.236.428;11.608.265;12.296.302;13.176.134;14.880.139;146.965.114
AEROL. ARGENTINAS ;1.912;4.588;0;16.544;3.322;4.736;6.346;3.097;978;5.290;5.538;4.797;57.148
AUSTRAL           ;29.986;24.528;19.510;19.510;19.331;15.752;21.498;16.423;25.578;23.437;29.077;30.093;274.723
LAN ARGENTINA     ;0;0;0;0;0;504;7.207;0;0;510;0;0;8.221
LAN PERU          ;21.661;16.425;20.634;15.085;9.555;14.204;5.434;5.789;24.090;24.524;54.979;46.628;259.008
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;13.724;46.252;59.976
T.A.M. LINEAS AEREAS;0;0;0;0;0;0;0;0;0;0;3;5;8
LAN ECUADOR       ;6.268;13.820;10.868;17.180;16.738;11.622;9.133;7.899;8.304;9.214;2.403;1.797;115.246
AVIANCA           ;540.693;561.003;656.146;631.058;510.703;617.418;651.464;535.211;534.970;777.329;747.635;745.523;7.509.153
