;Economy;Trading Across Borders DTF;Trading Across Borders rank;Time to export: Border compliance (hours);Cost to export: Border compliance (USD);Time to export: Documentary compliance (hours);Cost to export: Documentary compliance (USD);Time to import: Border compliance (hours);Cost to import: Border compliance (USD);Time to import: Documentary compliance (hours);Cost to import: Documentary compliance (USD)
Region;;;;;;;;;;;
;Pakistan - Lahore;39,41;;75;426;59;307;129;957;147;786
;Palau;46,22;163;102;505;168;200;84;605;168;143
;Panama;85,47;53;24;270;6;60;24;490;6;50
;Papua New Guinea;44,64;164;42;675;96;375;72;810;120;425
;Paraguay;64,03;116;120;815;24;120;48;500;36;135
;Peru;71,45;86;48;460;48;50;72;583;72;80
;Philippines;69,39;95;42;456;72;53;72;580;96;50
;Poland;100;1;0;0;1;0;0;0;1;0
;Portugal;100;1;0;0;1;0;0;0;1;0
;Puerto Rico US;81,86;62;48;386;2;75;48;386;2;75
;Qatar;61,41;128;30;382;10;150;88;754;72;617
;Romania;100;1;0;0;1;0;0;0;1;0
;Russian Federation;57,96;140;96;765;25;92;96;1125;43;153
;Russian Federation - Moscow;58,16;;96;765;26;80;96;1125;43;160
;Russian Federation - Saint Petersburg;57,5;;96;765;24;120;96;1125;43;135
;Rwanda;71,19;87;97;183;42;110;86;282;72;121
;Samoa;57,81;141;51;1400;24;180;84;900;25;230
;San Marino;97,48;20;0;0;1;0;4;50;3;100
;São Tomé and Príncipe;62,78;122;121;426;46;194;156;406;17;75
;Saudi Arabia;49,62;158;69;264;90;105;228;779;131;390
;Senegal;60,85;130;61;547;26;96;53;702;72;545
;Serbia;96,64;23;4;47;2;35;4;52;3;35
;Seychelles;71,79;84;82;332;44;115;97;341;33;93
;Sierra Leone;42,07;169;55;552;134;227;182;782;137;387
;Singapore;89,3;41;12;335;2;37;35;220;3;40
;Slovak Republic;100;1;0;0;1;0;0;0;1;0
;Slovenia;100;1;0;0;1;0;0;0;1;0
;Solomon Islands;53,45;151;110;630;60;257;108;740;37;215
;Somalia;51,6;156;44;495;73;350;85;952;76;300
;South Africa;58,01;139;100;428;68;170;144;657;36;213
;South Sudan;26,19;177;146;763;192;194;179;781;360;350
;Spain;100;1;0;0;1;0;0;0;1;0
;Sri Lanka;70,7;90;43;366;76;58;72;300;58;283
