TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
TOTAL;INTERNACIONAL DE;LAN EXPRESS       ;64.806;67.375;67.882;72.520;68.714;67.553;72.236;7.213;0;174
SKY AIRLINE       ;A SANTIAGO;DE BARILOCHE       ;424;0;234;0;0;0;0;120;213;0
 ; ;DE BUENOS AIRES    ;1.735;1.665;821;505;0;5.126;45.545;62.742;89.150;91.533
 ; ;DE IGUAZU, ARG.    ;0;0;0;104;0;0;0;0;0;0
 ; ;DE MAR DEL PLATA   ;0;0;0;0;0;0;0;0;164;0
 ; ;DE MENDOZA         ;190;0;119;58;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;0;0;0;0;0;0;1;0;0;0
 ; ;DE SAN LUIS        ;0;0;0;0;0;0;0;0;334;0
 ; ;DE AREQUIPA        ;0;0;81;2.384;2.128;2.001;2.578;2.971;1.306;0
 ; ;DE LIMA            ;0;0;0;0;0;1.442;13.593;27.167;37.051;46.718
 ; ;DE LA PAZ          ;0;0;0;0;1.966;6.224;9.931;11.409;12.099;14.113
 ; ;DE BELO HORIZONTE  ;0;0;0;0;0;0;0;482;441;0
 ; ;DE CABO FRIO, BRASI;0;0;0;0;0;350;0;1.467;1.259;2.116
 ; ;DE FLORIANAPOLIS   ;2.890;4.934;3.576;1.632;918;6.399;7.765;15.948;14.375;7.940
 ; ;DE IGUASSU, BRASIL ;718;0;439;0;338;0;117;308;300;324
 ; ;DE PORTO ALEGRE    ;0;0;0;218;0;0;0;105;0;135
 ; ;DE PORTO SEGURO    ;0;0;235;0;0;0;0;0;0;0
 ; ;DE RIO DE JANEIRO  ;0;0;225;0;0;0;0;0;0;0
 ; ;DE SALVADOR BAHIA  ;0;0;63;0;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;302;0;0;0;0;0;0;38.520
 ; ;DE ASUNCION        ;0;0;0;0;0;0;0;0;119;0
 ; ;DE MONTEVIDEO      ;350;0;213;6;0;0;2;0;0;25
 ; ;DE PTA. DEL ESTE   ;0;0;0;0;0;0;2.334;1.608;1.250;0
 ; ;DE GUAYAQUIL       ;0;0;479;0;0;0;0;0;0;0
