TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
LAN CARGO            ;9.879;17.489;21.406;23.078;17.911;26.481;25.270;24.892;21.858;22.602
LAN AIRLINES         ;41.986;41.439;41.019;42.419;38.675;44.849;42.332;42.638;39.620;40.385
LAN EXPRESS       ;3.380;2.792;2.407;3.167;2.881;2.882;1.793;278;0;0
SKY AIRLINE       ;0;0;0;240;0;0;2;222;438;259
CHILENAS          ;55.245;61.720;64.832;68.904;59.467;74.212;69.397;68.030;61.916;63.294
AEROL. ARGENTINAS ;1.156;1.549;936;606;232;99;37;57;16;8
AUSTRAL           ;0;21;0;8;0;0;0;18;16;24
LAN ARGENTINA     ;0;609;351;13;41;68;6;160;33;4
CIELOS DEL PERU   ;5.306;5.612;8.107;12.989;0;0;0;0;0;0
LAN PERU          ;2.069;454;709;1.606;2.034;1.957;445;689;573;672
LLOYD A. BOLIVIANO;200;97;13;0;0;0;0;0;0;0
GOL TRANS         ;0;80;621;325;372;313;364;276;0;0
T.A.M. LINEAS AEREAS;365;1.433;1.749;2.545;2.891;3.680;4.651;3.422;0;0
VARIG             ;3.823;790;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;361;1.130;1.189;469;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;11;187;19;0;0;0;0;0
T.A.M.            ;125;99;70;151;112;122;110;82;0;0
PLUNA             ;336;176;332;54;25;60;3;0;0;0
LAN ECUADOR       ;0;220;294;170;301;352;573;434;273;148
AVIANCA           ;873;792;897;952;1.171;866;1.181;2.881;2.772;2.281
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;511;1.783
LANCO (CARGA)     ;0;0;0;0;0;0;46;563;131;0
TAMPA             ;1.240;2.792;893;0;0;0;0;0;0;0
C.O.P.A.          ;139;93;96;103;271;361;276;161;121;194
