TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
C.O.P.A.          ;39.768;77.554;26.689;19.370;18.234;18.097;0;0;0;0;0;0;199.712
AEROMEXICO        ;445.256;414.619;445.541;484.002;316.679;344.178;0;0;0;0;0;0;2.450.275
LATINOAMERICANAS  ;2.647.574;2.608.080;2.426.499;2.083.974;2.192.066;2.358.315;0;0;0;0;0;0;14.316.508
AIR CANADA        ;327.449;383.959;282.087;173.481;164.698;192.812;0;0;0;0;0;0;1.524.486
AMERICAN AIRLINES ;888.029;883.251;1.030.428;841.897;783.593;837.669;0;0;0;0;0;0;5.264.867
ATLAS AIR INC.    ;2.396.704;2.211.757;2.749.391;2.858.758;2.349.643;2.151.103;0;0;0;0;0;0;14.717.356
DELTA AIRLINES    ;267.048;225.336;191.038;312.306;202.126;213.869;0;0;0;0;0;0;1.411.723
FLORIDA WEST AIRLINES;101.997;139.530;0;0;0;0;0;0;0;0;0;0;241.527
SKY LEASE CARGO   ;1.076.033;688.309;938.579;429.814;75.195;193.105;0;0;0;0;0;0;3.401.035
UNITED AIRLINES   ;218.576;237.552;192.614;193.056;196.943;236.772;0;0;0;0;0;0;1.275.513
UPS UNITED PARCEL SERVICE;30.630;22.034;13.325;2.694;1.447;13.149;0;0;0;0;0;0;83.279
NORTEAMERICANAS   ;5.306.466;4.791.728;5.397.462;4.812.006;3.773.645;3.838.479;0;0;0;0;0;0;27.919.786
IBERIA            ;374.607;330.319;294.796;280.999;221.095;210.581;0;0;0;0;0;0;1.712.397
AIR FRANCE        ;143.194;184.978;219.761;134.295;176.901;268.045;0;0;0;0;0;0;1.127.174
ALITALIA          ;106.290;93.579;44.548;62.176;48.473;113.172;0;0;0;0;0;0;468.238
BRITISH AIRWAYS   ;64.060;88.854;7.330;42.519;98.446;83.781;0;0;0;0;0;0;384.990
K.L.M.            ;82.282;131.857;100.778;80.607;118.790;106.394;0;0;0;0;0;0;620.708
MARTINAIR HOLLAND ;36.123;77.227;95.805;86.264;55.555;56.646;0;0;0;0;0;0;407.620
EUROPEAS          ;806.556;906.814;763.018;686.860;719.260;838.619;0;0;0;0;0;0;4.721.127
KOREAN AIR        ;467.894;352.800;242.983;175.594;235.654;389.216;0;0;0;0;0;0;1.864.141
ASIATICAS         ;467.894;352.800;242.983;175.594;235.654;389.216;0;0;0;0;0;0;1.864.141
QANTAS AIRWAYS    ;84.339;80.921;29.943;53.161;48.251;65.704;0;0;0;0;0;0;362.319
PACIFICO SUR      ;84.339;80.921;29.943;53.161;48.251;65.704;0;0;0;0;0;0;362.319
TOTAL GENERAL;16.513.950;15.020.864;14.747.967;13.776.329;12.706.992;12.731.178;0;0;0;0;0;0;85.497.280
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO           ;1.855.831;1.514.637;1.578.004;1.636.457;1.832.675;1.492.447;0;0;0;0;0;0;9.910.051
LATAM AIRLINES GROUP         ;8.570.139;8.030.599;8.432.141;8.664.598;8.342.404;8.134.497;0;0;0;0;0;0;50.174.378
LATAM AIRLINES CHILE       ;18.865;45.057;94.429;52.106;73.544;49.308;0;0;0;0;0;0;333.309
SKY AIRLINE       ;44.227;46.581;50.963;62.215;75.871;73.610;0;0;0;0;0;0;353.467
CHILENAS          ;10.489.062;9.636.874;10.155.537;10.415.376;10.324.494;9.749.862;0;0;0;0;0;0;60.771.205
AEROL. ARGENTINAS ;25.279;30.012;24.326;36.135;42.153;46.388;0;0;0;0;0;0;204.293
AUSTRAL           ;0;0;0;270;797;0;0;0;0;0;0;0;1.067
LATAM AIRLINES ARGENTINA     ;406;185;93;0;158;0;0;0;0;0;0;0;842
LATAM AIRLINES PERU          ;34.685;32.197;9.489;44.034;22.997;17.053;0;0;0;0;0;0;160.455
LATAM CARGO BRASIL;881.193;971.183;1.252.438;1.222.168;1.264.540;1.196.767;0;0;0;0;0;0;6.788.289
GOL TRANS         ;35.620;56.946;53.377;55.750;47.619;39.459;0;0;0;0;0;0;288.771
OCEANAIR LINHAS AEREAS;1.008.279;942.428;908.400;727.039;797.186;663.280;0;0;0;0;0;0;5.046.612
LATAM AIRLINES BRASIL;917.326;920.180;707.482;424.924;833.960;921.138;0;0;0;0;0;0;4.725.010
LATAM AIRLINES PARAGUAY            ;24.947;19.800;22.568;12.186;32.420;27.750;0;0;0;0;0;0;139.671
LATAM AIRLINES ECUADOR       ;12.003;10.005;9.663;4.428;12.117;25.096;0;0;0;0;0;0;73.312
AVIANCA           ;534.665;556.633;477.095;507.164;478.146;605.820;0;0;0;0;0;0;3.159.523
L.A.C.S.A.        ;48.728;34.145;30.023;30.541;12.186;13.889;0;0;0;0;0;0;169.512
C.O.P.A.          ;39.768;77.554;26.694;19.370;18.241;18.097;0;0;0;0;0;0;199.724
AEROMEXICO        ;648.783;623.154;719.481;759.066;663.858;614.718;0;0;0;0;0;0;4.029.060
LATINOAMERICANAS  ;4.211.682;4.274.422;4.241.129;3.843.075;4.226.378;4.189.455;0;0;0;0;0;0;24.986.141
AIR CANADA        ;617.669;769.205;551.853;414.816;414.019;544.849;0;0;0;0;0;0;3.312.411
AMERICAN AIRLINES ;1.395.145;1.318.836;1.524.547;1.333.190;1.320.999;1.389.952;0;0;0;0;0;0;8.282.669
ATLAS AIR INC.    ;3.753.689;3.409.292;4.000.629;4.080.444;3.513.158;3.651.043;0;0;0;0;0;0;22.408.255
DELTA AIRLINES    ;314.511;277.725;236.150;358.970;243.727;268.227;0;0;0;0;0;0;1.699.310
FLORIDA WEST AIRLINES;343.962;452.809;0;0;0;0;0;0;0;0;0;0;796.771
SKY LEASE CARGO   ;1.991.956;1.470.937;1.745.255;1.039.810;373.735;518.702;0;0;0;0;0;0;7.140.395
UNITED AIRLINES   ;400.059;405.336;363.363;392.066;381.307;443.131;0;0;0;0;0;0;2.385.262
UPS UNITED PARCEL SERVICE;169.910;169.087;158.777;113.834;94.759;243.908;0;0;0;0;0;0;950.275
NORTEAMERICANAS   ;8.986.901;8.273.227;8.580.574;7.733.130;6.341.704;7.059.812;0;0;0;0;0;0;46.975.348
IBERIA            ;624.253;667.172;656.204;618.634;563.202;582.669;0;0;0;0;0;0;3.712.134
AIR FRANCE        ;318.776;278.175;379.843;324.241;376.299;402.896;0;0;0;0;0;0;2.080.230
ALITALIA          ;191.521;143.079;186.604;221.956;171.821;269.023;0;0;0;0;0;0;1.184.004
