TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;A ARICA;DE IQUIQUE         ;5;36;2;0;0;0;0;0;0;0
 ; ;DE CALAMA          ;0;0;7;2;0;0;0;0;0;0
 ;A IQUIQUE;DE COPIAPO         ;0;0;0;0;1;0;0;0;0;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;20;58;131;0;0;5;0;1;0;2
 ; ;DE LA SERENA       ;0;0;0;2;0;0;0;0;1;0
 ;A CONCEPCION;DE BALMACEDA       ;0;1;0;0;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;0;0;3
 ;A TEMUCO;DE BALMACEDA       ;2;2;1;0;0;0;0;0;0;0
 ;A PUERTO MONTT;DE BALMACEDA       ;76;39;14;12;102;77;26;42;16;24
 ; ;DE PUNTA ARENAS    ;253;142;24;0;0;13;31;242;7;3
 ;A BALMACEDA;DE PUNTA ARENAS    ;0;0;0;0;0;1;0;0;0;0
TOTAL;NACIONAL DE;LAN AIRLINES         ;3.469;3.626;2.508;861;2.178;3.561;4.153;2.967;2.496;1.698
LAN EXPRESS       ;A SANTIAGO;DE ARICA           ;661;788;739;663;632;590;528;874;668;997
 ; ;DE IQUIQUE         ;309;277;369;365;392;322;264;190;106;106
 ; ;DE ANTOFAGASTA     ;283;253;398;487;294;424;340;488;651;662
 ; ;DE CALAMA          ;67;63;93;155;39;6;1;5;166;295
 ; ;DE COPIAPO         ;220;88;81;115;93;159;207;167;137;87
 ; ;DE EL SALVADOR     ;5;0;0;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;111;135;171;177;150;179;185;112;98;60
 ; ;DE ISLA DE PASCUA  ;0;0;0;0;0;2;0;0;0;0
 ; ;DE CONCEPCION      ;399;387;237;304;293;226;270;306;309;278
 ; ;DE TEMUCO          ;35;42;40;54;32;35;34;47;32;24
 ; ;DE OSORNO          ;39;70;53;48;81;58;297;218;466;28
 ; ;DE PUERTO MONTT    ;430;907;1.338;2.112;2.135;1.904;2.955;4.270;3.682;921
 ; ;DE VALDIVIA        ;100;77;55;87;16;38;68;24;31;29
 ; ;DE BALMACEDA       ;453;627;496;302;67;153;403;430;238;287
 ; ;DE PUNTA ARENAS    ;1.141;985;1.269;1.292;1.401;1.153;592;293;297;620
 ;A ARICA;DE IQUIQUE         ;16;33;20;15;3;7;2;2;3;2
 ; ;DE ANTOFAGASTA     ;10;12;6;0;0;0;0;0;0;0
 ; ;DE COPIAPO         ;1;0;0;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;1;0;0;0;0;0;0;0;0
 ;A IQUIQUE;DE COPIAPO         ;0;2;0;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;17;16;13;1;0;0;1;0;0;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;32;37;30;13;352;940;759;106;197;3
 ; ;DE CALAMA          ;78;99;13;3;0;0;0;0;0;0
 ; ;DE COPIAPO         ;14;11;2;0;0;0;0;0;1;0
 ; ;DE LA SERENA       ;81;93;65;129;96;41;22;11;3;4
 ;A COPIAPO;DE LA SERENA       ;7;9;0;0;0;0;0;0;0;0
 ;A CONCEPCION;DE LA SERENA       ;0;0;1;0;0;0;0;0;0;0
 ; ;DE TEMUCO          ;1;3;0;0;0;0;0;0;0;0
 ; ;DE PUERTO MONTT    ;164;49;24;1;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;4;2;0;1;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;0;0;0;1;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;1;0;0;2;0;0;0;0
 ;A TEMUCO;DE OSORNO          ;0;1;0;2;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;1;0;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;1;1;0;0;0;0;0;0;0;0
 ;A PUERTO MONTT;DE TEMUCO          ;11;8;2;0;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;1;0;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;72;54;52;79;30;18;101;63;82;74
 ; ;DE PUNTA ARENAS    ;449;306;397;243;230;226;256;77;257;315
 ;A BALMACEDA;DE PUNTA ARENAS    ;19;19;21;2;0;1;0;0;0;0
TOTAL;NACIONAL DE;LAN EXPRESS       ;5.230;5.455;5.988;6.651;6.336;6.484;7.285;7.683;7.424;4.792
PLUNA             ;A SANTIAGO;DE PUNTA ARENAS    ;0;0;0;0;1;0;0;0;0;0
TOTAL;NACIONAL DE;PLUNA             ;0;0;0;0;1;0;0;0;0;0
SKY AIRLINE       ;A SANTIAGO;DE ARICA           ;405;302;211;261;280;0;0;0;0;97
 ; ;DE IQUIQUE         ;76;131;23;426;301;40;0;2;0;8
 ; ;DE ANTOFAGASTA     ;306;218;88;149;425;49;0;0;0;0
 ; ;DE CALAMA          ;17;14;19;67;165;53;0;0;0;0
 ; ;DE COPIAPO         ;0;20;0;40;87;11;0;0;0;0
 ; ;DE CONCEPCION      ;57;46;4;0;5;15;0;0;0;0
 ; ;DE PUERTO MONTT    ;51;14;12;119;222;58;0;1;7;20
 ; ;DE BALMACEDA       ;195;152;271;158;105;16;0;0;0;0
 ; ;DE PUNTA ARENAS    ;131;129;150;166;243;45;4;3;21;47
 ;A ARICA;DE IQUIQUE         ;23;13;2;7;2;1;0;5;0;1
 ; ;DE ANTOFAGASTA     ;7;2;12;6;6;1;0;0;0;0
 ; ;DE CALAMA          ;0;0;0;1;0;0;0;0;0;0
 ;A IQUIQUE;DE CALAMA          ;0;0;3;1;0;0;0;0;0;0
 ; ;DE COPIAPO         ;0;0;0;1;2;0;0;0;0;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;3;4;2;3;3;0;0;0;0;1
 ; ;DE CALAMA          ;4;1;0;1;5;3;0;0;0;0
 ;A CONCEPCION;DE PUERTO MONTT    ;0;2;0;15;18;2;0;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;3;5;0;2;0;0;0;0
 ;A TEMUCO;DE BALMACEDA       ;0;0;0;2;0;0;0;0;0;0
 ;A PUERTO MONTT;DE BALMACEDA       ;46;60;66;27;31;7;0;0;0;0
 ; ;DE PUNTA ARENAS    ;10;8;5;23;8;8;0;0;50;104
 ;A BALMACEDA;DE PUNTA ARENAS    ;0;4;8;13;9;5;0;2;4;4
TOTAL;NACIONAL DE;SKY AIRLINE       ;1.331;1.120;879;1.491;1.917;316;4;13;82;282
WEST AIR SWEDEN   ;A SANTIAGO;DE ARICA           ;0;0;0;0;0;0;0;0;26;0
 ; ;DE IQUIQUE         ;0;0;0;0;0;0;0;21;4;0
 ; ;DE ANTOFAGASTA     ;0;0;0;0;0;0;0;108;9;0
 ; ;DE BALMACEDA       ;0;0;0;0;0;0;0;42;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;18;0;0
 ;A ARICA;DE IQUIQUE         ;0;0;0;0;0;0;0;0;5;0
 ; ;DE ANTOFAGASTA     ;0;0;0;0;0;0;0;0;12;0
 ;A BALMACEDA;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;4;0;0
TOTAL;NACIONAL DE;WEST AIR SWEDEN   ;0;0;0;0;0;0;0;193;56;0
TOTAL;GENERAL;DE DATOS;10.030;10.247;9.720;9.367;10.526;10.540;11.457;10.893;10.086;6.772
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
CARGA EN KILOS SALIDAS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;DESDE:;LLEGAN:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;DE SANTIAGO;A ARICA           ;0;0;0;0;0;4;20;0;0;0
 ; ;A IQUIQUE         ;0;0;0;0;70;649;713;419;106;77
 ; ;A ANTOFAGASTA     ;0;0;0;0;102;801;2.191;1.231;220;184
 ; ;A CALAMA          ;0;0;0;0;0;435;323;4;0;0
 ; ;A COPIAPO         ;0;0;0;0;0;2;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;0;0;17;9;6;0;0;0
 ; ;A CALAMA          ;0;0;0;0;0;1;0;0;0;0
TOTAL;NACIONAL DE;PAL AIRLINES;0;0;0;0;189;1.901;3.253;1.654;326;261
AEROLINEAS DAMOJH ;DE SANTIAGO;A IQUIQUE         ;0;0;0;0;0;0;0;43;1;0
 ; ;A ANTOFAGASTA     ;0;0;0;0;0;0;0;305;77;0
 ; ;A CALAMA          ;0;0;0;0;0;0;0;89;12;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;1;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;0;0;0;0;0;1;0;0
 ; ;A CALAMA          ;0;0;0;0;0;0;0;1;10;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;6;20;0
TOTAL;NACIONAL DE;AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;445;121;0
AEROLINEAS DEL SUR;DE SANTIAGO;A IQUIQUE         ;0;170;208;166;0;0;0;0;0;0
 ; ;A ANTOFAGASTA     ;0;355;437;308;0;0;0;0;0;0
 ; ;A CALAMA          ;0;0;210;131;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;0;29;44;0;0;0;0;0;0
 ; ;A TEMUCO          ;0;0;0;26;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;0;0;96;93;0;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;0;85;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;431;488;349;0;0;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;7;0;0;0;0;0;0;0
 ; ;A CALAMA          ;0;0;36;0;0;0;0;0;0;0
 ;DE PUERTO MONTT;A BALMACEDA       ;0;0;0;4;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;37;40;0;0;0;0;0;0
TOTAL;NACIONAL DE;AEROLINEAS DEL SUR;0;956;1.548;1.246;0;0;0;0;0;0
LAN CARGO            ;DE SANTIAGO;A IQUIQUE         ;0;424;89;55;27;0;0;2;13;162
TOTAL;NACIONAL DE;LAN CARGO            ;0;424;89;55;27;0;0;2;13;162
LAN AIRLINES         ;DE SANTIAGO;A ARICA           ;296;114;30;10;76;138;195;35;20;11
 ; ;A IQUIQUE         ;1.379;1.393;1.583;718;767;1.416;1.636;1.785;1.801;1.572
 ; ;A ANTOFAGASTA     ;2.137;2.368;2.101;285;492;840;767;672;678;611
 ; ;A CALAMA          ;20;32;9;1;343;602;656;731;614;590
 ; ;A COPIAPO         ;1;1;2;3;1;2;6;7;64;54
 ; ;A LA SERENA       ;4;0;1;1;0;0;0;0;1;0
 ; ;A ISLA DE PASCUA  ;2.969;3.236;3.407;4.400;4.563;4.499;3.883;3.594;3.987;4.439
 ; ;A CONCEPCION      ;2;5;0;1;0;1;15;0;0;0
 ; ;A TEMUCO          ;1;0;0;1;11;0;0;0;55;37
 ; ;A CASTRO          ;0;0;0;0;0;0;0;0;0;1
 ; ;A OSORNO          ;0;1;0;0;0;0;0;30;1;0
 ; ;A PUERTO MONTT    ;154;114;71;36;88;157;151;8;60;22
 ; ;A VALDIVIA        ;0;0;0;0;0;0;0;26;0;0
 ; ;A BALMACEDA       ;456;454;297;284;420;571;586;94;90;80
 ; ;A PUNTA ARENAS    ;939;838;220;90;920;984;1.295;1.112;1.085;1.262
 ;DE ARICA;A IQUIQUE         ;9;0;0;0;0;1;3;20;0;0
 ; ;A COPIAPO         ;0;0;0;0;0;0;1;0;0;0
 ;DE IQUIQUE;A COPIAPO         ;0;0;0;0;0;3;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;956;807;1.032;235;0;0;0;5;0;5
 ; ;A LA SERENA       ;0;0;0;0;0;0;0;2;0;3
 ;DE PUERTO MONTT;A BALMACEDA       ;147;158;161;127;172;234;167;200;190;164
 ; ;A PUNTA ARENAS    ;130;168;55;1;47;43;54;186;37;14
 ;DE BALMACEDA;A PUNTA ARENAS    ;17;4;3;0;0;6;0;0;0;0
TOTAL;NACIONAL DE;LAN AIRLINES         ;9.617;9.693;8.972;6.193;7.900;9.497;9.415;8.507;8.683;8.865
LAN EXPRESS       ;DE SANTIAGO;A ARICA           ;560;609;579;552;539;659;627;814;974;1.061
 ; ;A IQUIQUE         ;1.218;1.159;1.119;1.080;1.666;2.426;2.321;1.691;1.319;1.120
 ; ;A ANTOFAGASTA     ;1.524;1.529;1.425;1.695;783;340;699;1.273;1.777;1.993
 ; ;A CALAMA          ;885;791;561;534;132;41;3;8;351;601
 ; ;A COPIAPO         ;104;165;184;131;83;130;169;132;82;61
 ; ;A EL SALVADOR     ;4;3;2;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;120;118;171;133;93;142;124;101;107;80
 ; ;A ISLA DE PASCUA  ;0;0;0;0;0;60;0;0;0;0
 ; ;A CONCEPCION      ;496;492;664;473;319;420;632;551;552;748
 ; ;A TEMUCO          ;169;166;134;154;70;111;105;148;32;33
 ; ;A OSORNO          ;67;99;55;44;55;59;61;40;71;44
 ; ;A PUERTO MONTT    ;504;391;466;450;298;309;248;474;327;311
 ; ;A VALDIVIA        ;92;74;55;39;14;26;23;14;21;17
 ; ;A BALMACEDA       ;387;413;342;200;85;86;312;725;805;905
 ; ;A PUNTA ARENAS    ;1.932;1.350;1.574;1.592;1.075;1.348;1.014;1.118;1.004;1.168
 ;DE ARICA;A IQUIQUE         ;66;97;61;21;57;18;38;20;8;5
 ; ;A ANTOFAGASTA     ;2;5;32;1;0;0;0;0;0;0
 ; ;A CALAMA          ;0;8;1;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;1;4;0;0;0;0;0;0;0;0
 ;DE IQUIQUE;A CALAMA          ;0;0;2;1;0;0;0;0;0;0
 ; ;A COPIAPO         ;0;1;1;0;0;2;0;0;0;0
 ; ;A LA SERENA       ;31;6;2;0;0;0;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;42;65;43;71;57;32;23;12;19;8
 ; ;A CALAMA          ;18;24;24;2;0;0;0;0;74;0
 ; ;A COPIAPO         ;7;5;4;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;119;40;13;33;7;21;27;9;8;3
 ;DE CALAMA;A COPIAPO         ;5;0;0;0;0;0;0;0;0;0
 ;DE CONCEPCION;A OSORNO          ;1;0;0;0;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;23;20;9;3;0;1;0;0;0;0
 ; ;A VALDIVIA        ;1;3;0;0;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;1;0;0;0;0;0;0;0;0
 ;DE TEMUCO;A OSORNO          ;0;1;0;0;0;0;0;0;0;0
 ; ;A VALDIVIA        ;0;1;0;0;0;0;0;0;0;0
 ; ;A BALMACEDA       ;2;1;0;0;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;1;1;0;0;0;0;0;0;0;0
 ;DE OSORNO;A VALDIVIA        ;0;0;0;1;2;1;0;0;0;0
 ;DE PUERTO MONTT;A TEMUCO          ;9;9;0;0;0;0;0;0;0;0
 ; ;A BALMACEDA       ;90;89;156;96;51;8;127;85;90;74
 ; ;A PUNTA ARENAS    ;384;316;428;277;207;255;293;118;271;254
 ;DE VALDIVIA;A BALMACEDA       ;0;0;0;0;0;0;1;1;0;0
 ;DE BALMACEDA;A PUNTA ARENAS    ;1;0;1;1;0;1;0;0;0;0
TOTAL;NACIONAL DE;LAN EXPRESS       ;8.865;8.056;8.108;7.584;5.593;6.496;6.847;7.334;7.892;8.486
PLUNA             ;DE SANTIAGO;A PUNTA ARENAS    ;0;0;0;0;7;0;0;0;0;0
TOTAL;NACIONAL DE;PLUNA             ;0;0;0;0;7;0;0;0;0;0
SKY AIRLINE       ;DE SANTIAGO;A ARICA           ;166;221;233;413;280;67;0;76;138;240
 ; ;A IQUIQUE         ;199;166;116;707;385;123;0;37;163;478
 ; ;A ANTOFAGASTA     ;268;218;206;956;1.149;225;0;3;177;516
 ; ;A CALAMA          ;137;134;95;140;308;122;0;1;53;161
 ; ;A COPIAPO         ;0;15;28;28;20;3;0;1;2;4
 ; ;A EL SALVADOR     ;0;0;1;1;0;0;0;0;0;0
 ; ;A LA SERENA       ;0;0;0;0;0;0;0;1;3;5
 ; ;A CONCEPCION      ;11;74;42;212;201;17;0;1;4;6
 ; ;A TEMUCO          ;3;17;12;37;25;10;0;0;2;3
 ; ;A OSORNO          ;0;0;0;4;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;43;35;19;56;55;17;0;18;69;97
 ; ;A VALDIVIA        ;0;0;0;3;0;0;0;0;2;1
 ; ;A BALMACEDA       ;84;119;174;290;219;69;0;29;88;140
 ; ;A PUERTO NATALES  ;0;0;0;0;1;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;248;188;186;441;231;60;1;85;247;345
 ;DE ARICA;A IQUIQUE         ;2;5;16;33;8;0;0;0;0;1
 ; ;A ANTOFAGASTA     ;4;7;4;3;2;0;0;0;0;0
 ; ;A COPIAPO         ;0;3;3;2;1;0;0;0;0;0
 ;DE IQUIQUE;A CALAMA          ;0;0;0;0;1;0;0;0;0;0
 ; ;A COPIAPO         ;0;3;6;23;20;1;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;13;3;6;1;5;1;0;0;0;0
 ; ;A CALAMA          ;4;2;10;11;16;0;0;0;0;0
 ; ;A COPIAPO         ;0;1;4;0;2;0;0;0;0;0
 ;DE CONCEPCION;A TEMUCO          ;0;2;0;0;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;4;6;1;0;1;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;0;0;0;1;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;0;0;3;0;0;0;0
 ;DE PUERTO MONTT;A TEMUCO          ;0;0;0;1;1;0;0;0;0;0
 ; ;A BALMACEDA       ;18;21;26;61;60;18;0;1;22;72
 ; ;A PUNTA ARENAS    ;11;20;13;30;58;23;0;1;33;124
 ;DE BALMACEDA;A PUNTA ARENAS    ;1;4;15;14;4;0;0;0;0;0
TOTAL;NACIONAL DE;SKY AIRLINE       ;1.216;1.264;1.216;3.467;3.053;760;1;254;1.003;2.193
WEST AIR SWEDEN   ;DE SANTIAGO;A ARICA           ;0;0;0;0;0;0;0;31;54;0
 ; ;A IQUIQUE         ;0;0;0;0;0;0;0;174;84;0
 ; ;A ANTOFAGASTA     ;0;0;0;0;0;0;0;482;171;0
 ; ;A CALAMA          ;0;0;0;0;0;0;0;2;0;0
 ; ;A BALMACEDA       ;0;0;0;0;0;0;0;149;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;0;0;0;0;255;3;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;0;0;0;0;0;11;24;0
TOTAL;NACIONAL DE;WEST AIR SWEDEN   ;0;0;0;0;0;0;0;1.104;336;0
TOTAL;GENERAL;DE DATOS;19.698;20.393;19.933;18.545;16.769;18.654;19.516;19.300;18.374;19.967
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
CARGA EN KILOS TOTALES (Llegadas+Salidas);;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;CIUDAD;CIUDAD;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;SANTIAGO CON;ARICA           ;0;0;0;0;0;4;20;0;0;0
 ; ;IQUIQUE         ;0;0;0;0;91;666;713;419;106;77
 ; ;ANTOFAGASTA     ;0;0;0;0;172;937;2.206;1.231;220;184
 ; ;CALAMA          ;0;0;0;0;0;460;323;5;0;0
 ; ;COPIAPO         ;0;0;0;0;0;2;0;0;0;0
 ;ANTOFAGASTA CON;IQUIQUE         ;0;0;0;0;20;9;6;0;0;0
 ; ;CALAMA          ;0;0;0;0;0;3;0;0;0;0
TOTAL;NACIONAL DE;PAL AIRLINES;0;0;0;0;283;2.081;3.268;1.655;326;261
AEROLINEAS DAMOJH ;SANTIAGO CON;IQUIQUE         ;0;0;0;0;0;0;0;45;1;0
 ; ;ANTOFAGASTA     ;0;0;0;0;0;0;0;331;105;0
 ; ;CALAMA          ;0;0;0;0;0;0;0;96;12;0
 ; ;CONCEPCION      ;0;0;0;0;0;0;0;0;1;0
 ;ANTOFAGASTA CON;IQUIQUE         ;0;0;0;0;0;0;0;1;0;0
 ; ;CALAMA          ;0;0;0;0;0;0;0;2;10;0
 ; ;CONCEPCION      ;0;0;0;0;0;0;0;6;20;0
TOTAL;NACIONAL DE;AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;481;149;0
AEROLINEAS DEL SUR;SANTIAGO CON;IQUIQUE         ;0;170;255;255;0;0;0;0;0;0
 ; ;ANTOFAGASTA     ;0;355;612;308;0;0;0;0;0;0
 ; ;CALAMA          ;0;0;214;137;0;0;0;0;0;0
 ; ;CONCEPCION      ;0;0;29;54;0;0;0;0;0;0
 ; ;TEMUCO          ;0;0;0;26;0;0;0;0;0;0
 ; ;PUERTO MONTT    ;0;0;123;146;0;0;0;0;0;0
 ; ;BALMACEDA       ;0;0;0;86;0;0;0;0;0;0
 ; ;PUNTA ARENAS    ;0;431;567;516;0;0;0;0;0;0
 ;ANTOFAGASTA CON;IQUIQUE         ;0;0;13;8;0;0;0;0;0;0
 ; ;CALAMA          ;0;0;36;1;0;0;0;0;0;0
 ;CONCEPCION CON;PUERTO MONTT    ;0;0;0;1;0;0;0;0;0;0
 ; ;BALMACEDA       ;0;0;0;1;0;0;0;0;0;0
 ;PUERTO MONTT CON;BALMACEDA       ;0;0;0;4;0;0;0;0;0;0
 ; ;PUNTA ARENAS    ;0;0;45;44;0;0;0;0;0;0
TOTAL;NACIONAL DE;AEROLINEAS DEL SUR;0;956;1.894;1.587;0;0;0;0;0;0
LAN CARGO            ;SANTIAGO CON;IQUIQUE         ;0;424;89;55;27;0;0;2;13;162
 ; ;PUERTO MONTT    ;0;46;0;26;0;0;0;0;0;0
TOTAL;NACIONAL DE;LAN CARGO            ;0;470;89;81;27;0;0;2;13;162
LAN AIRLINES         ;SANTIAGO CON;ARICA           ;447;123;33;15;223;426;538;92;157;45
 ; ;IQUIQUE         ;2.932;2.825;3.282;1.028;981;1.805;2.151;2.244;2.329;2.095
 ; ;ANTOFAGASTA     ;2.192;2.713;2.174;286;710;1.258;1.339;1.017;1.002;831
 ; ;CALAMA          ;20;32;9;1;409;840;998;1.041;853;642
 ; ;COPIAPO         ;1;2;2;3;5;6;11;11;122;151
 ; ;LA SERENA       ;8;0;1;2;0;0;0;8;2;3
 ; ;ISLA DE PASCUA  ;2.995;3.239;3.411;4.470;4.730;4.700;4.088;3.823;4.251;4.667
 ; ;CONCEPCION      ;3;5;0;1;0;4;23;0;1;0
 ; ;TEMUCO          ;12;8;1;1;13;0;0;0;66;43
 ; ;CASTRO          ;0;0;0;0;0;0;0;0;1;16
 ; ;OSORNO          ;15;23;0;0;0;0;0;370;15;0
 ; ;PUERTO MONTT    ;582;457;171;238;631;1.480;1.426;439;546;145
 ; ;VALDIVIA        ;0;0;0;0;0;3;0;36;0;0
 ; ;BALMACEDA       ;896;1.088;608;416;905;1.009;898;128;97;98
 ; ;PUNTA ARENAS    ;1.367;1.387;355;215;1.150;1.147;1.816;1.566;1.486;1.609
 ;ARICA CON;IQUIQUE         ;13;36;2;0;0;1;4;21;0;0
 ; ;CALAMA          ;0;0;7;2;0;0;0;0;0;0
 ; ;COPIAPO         ;0;0;0;0;0;0;1;0;0;0
 ;IQUIQUE CON;COPIAPO         ;0;0;0;0;1;3;0;0;0;0
 ;ANTOFAGASTA CON;IQUIQUE         ;976;865;1.163;235;0;5;1;6;0;7
 ; ;LA SERENA       ;0;0;0;2;0;0;0;2;1;3
 ;CALAMA CON;LA SERENA       ;0;0;0;0;0;0;0;0;0;1
 ;CONCEPCION CON;BALMACEDA       ;0;1;0;0;0;0;0;0;0;0
 ; ;PUNTA ARENAS    ;0;0;0;0;0;0;0;0;0;3
 ;TEMUCO CON;BALMACEDA       ;2;2;1;0;0;0;0;0;0;0
 ;PUERTO MONTT CON;BALMACEDA       ;223;197;175;140;274;311;193;242;206;188
 ; ;PUNTA ARENAS    ;383;310;79;1;47;56;85;429;44;16
 ;BALMACEDA CON;PUNTA ARENAS    ;17;4;3;0;0;7;0;0;0;0
TOTAL;NACIONAL DE;LAN AIRLINES         ;13.084;13.317;11.477;7.056;10.079;13.061;13.572;11.475;11.179;10.563
LAN EXPRESS       ;SANTIAGO CON;ARICA           ;1.221;1.397;1.318;1.215;1.170;1.249;1.156;1.688;1.642;2.058
 ; ;IQUIQUE         ;1.527;1.437;1.487;1.446;2.058;2.748;2.584;1.881;1.425;1.226
 ; ;ANTOFAGASTA     ;1.807;1.782;1.823;2.182;1.077;764;1.040;1.761;2.428;2.656
 ; ;CALAMA          ;952;854;654;689;171;47;4;13;517;896
 ; ;COPIAPO         ;324;253;264;246;176;289;377;300;219;148
 ; ;EL SALVADOR     ;9;3;2;0;0;0;0;0;0;0
 ; ;LA SERENA       ;231;253;342;310;243;322;309;213;206;140
 ; ;ISLA DE PASCUA  ;0;0;0;0;0;62;0;0;0;0
 ; ;CONCEPCION      ;895;879;901;776;611;646;902;857;861;1.026
 ; ;TEMUCO          ;204;208;173;208;102;147;139;195;64;57
 ; ;OSORNO          ;106;169;108;91;136;118;358;258;538;71
 ; ;PUERTO MONTT    ;933;1.298;1.804;2.562;2.433;2.213;3.202;4.743;4.009;1.232
 ; ;VALDIVIA        ;193;151;111;126;30;64;90;38;51;46
 ; ;BALMACEDA       ;841;1.040;838;502;152;239;715;1.155;1.043;1.192
 ; ;PUNTA ARENAS    ;3.073;2.335;2.843;2.885;2.476;2.500;1.605;1.411;1.300;1.788
 ;ARICA CON;IQUIQUE         ;83;130;81;36;60;25;40;23;10;7
 ; ;ANTOFAGASTA     ;12;17;39;1;0;0;0;0;0;0
 ; ;CALAMA          ;0;8;1;0;0;0;0;0;0;0
 ; ;COPIAPO         ;1;0;0;0;0;0;0;0;0;0
 ; ;LA SERENA       ;1;5;0;0;0;0;0;0;0;0
 ;IQUIQUE CON;CALAMA          ;0;0;2;2;0;0;0;0;0;0
 ; ;COPIAPO         ;0;2;1;0;1;2;0;0;0;0
 ; ;LA SERENA       ;48;21;15;2;0;0;1;0;0;0
 ;ANTOFAGASTA CON;IQUIQUE         ;74;103;74;84;410;972;782;118;215;11
 ; ;CALAMA          ;96;123;37;5;0;0;0;0;74;0
 ; ;COPIAPO         ;21;16;6;0;0;0;0;0;1;0
 ; ;LA SERENA       ;200;134;77;162;102;62;50;20;11;7
 ;CALAMA CON;COPIAPO         ;5;0;0;0;0;0;0;0;0;0
 ; ;LA SERENA       ;0;0;0;0;0;1;1;0;1;0
 ;COPIAPO CON;LA SERENA       ;7;10;0;0;0;0;0;0;0;0
 ;CONCEPCION CON;LA SERENA       ;0;0;1;0;0;0;0;0;0;0
 ; ;TEMUCO          ;2;3;1;0;0;0;0;0;0;0
 ; ;OSORNO          ;1;0;0;0;0;0;0;0;0;0
 ; ;PUERTO MONTT    ;187;69;32;3;0;1;0;0;0;0
 ; ;VALDIVIA        ;5;5;0;1;0;0;0;0;0;0
 ; ;BALMACEDA       ;0;0;1;1;0;0;0;0;0;0
