TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE CALAMA          ;11.533;11.917;3.797;2.421;0;0;0;0;0;0
 ; ;DE COPIAPO         ;7.901;6.693;3.465;1;0;114;0;159;157;0
 ; ;DE EL SALVADOR     ;1.286;1.653;210;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;10.248;11.438;13.206;21.160;25.330;26.899;28.098;40.697;34.999;47.409
 ;A CALAMA;DE COPIAPO         ;0;12;0;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;0;0;0;0;747;1.920;1.899;5.203;10.056
 ;A COPIAPO;DE EL SALVADOR     ;633;680;441;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;2.755;2.584;1.065;1.341;753;342;1.269;371;0;0
 ;A EL SALVADOR;DE CALAMA          ;69;18;24;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;489;390;0;0;0;0;0;0;0;0
 ;A CONCEPCION;DE CALAMA          ;0;38;2;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;0;113;0;70;0;0;0;0;0
 ; ;DE PUCON           ;0;0;0;2;0;0;0;0;0;0
 ; ;DE TEMUCO          ;2.708;3.085;1.653;102;0;0;0;0;0;0
 ; ;DE OSORNO          ;969;523;2.336;0;13;0;95;27;0;0
 ; ;DE PUERTO MONTT    ;12.403;10.063;8.466;796;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;4.868;4.326;1.124;958;105;0;0;0;0;0
 ; ;DE BALMACEDA       ;0;0;452;282;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;201;527;76;132;91;167;254;0;88;2
 ;A TEMUCO;DE PUCON           ;0;0;0;0;0;0;21;2;0;0
 ; ;DE OSORNO          ;10.607;10.301;281;398;2.248;693;685;0;0;0
 ; ;DE VALDIVIA        ;185;1.150;585;0;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;0;0;594;2.258;333;84;100;146;0;0
 ; ;DE PUNTA ARENAS    ;1.351;960;0;0;0;0;0;0;0;0
 ;A OSORNO;DE VALDIVIA        ;0;0;15;40;40;0;8;0;0;0
 ;A PUERTO MONTT;DE TEMUCO          ;7.121;5.478;2.065;388;846;0;0;0;0;0
 ; ;DE CASTRO          ;0;0;0;0;0;0;0;798;0;0
 ; ;DE OSORNO          ;0;0;0;0;0;0;10;30;0;0
 ; ;DE VALDIVIA        ;203;132;131;23;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;17.511;17.426;22.764;24.309;14.230;6.051;26.125;27.564;33.397;39.051
 ; ;DE PUNTA ARENAS    ;24.827;21.900;32.783;45.036;55.815;40.548;49.041;27.669;58.402;68.148
 ;A VALDIVIA;DE BALMACEDA       ;0;0;0;149;0;12;1.113;678;0;0
